PERFECT VAULT SOLUTION (full mode)
Unordered trait combos in plane: 9434
Total physical copies: 2890
Preferred 3x3 copies: 1620
Gap-fill 1x1 copies: 1270
Distinct weapon models: 558
Unsolved: 0

Each entry is one physical vault gun.
Preferred: roll the listed perks in trait column 2 and column 3 (up to 3 each = 3x3).
Gap-fill: roll exactly that one combo (1x1).
Combinations are unordered: A+B is the same as B+A globally.

========================================================================
SUMMARY BY WEAPON (copies needed)
========================================================================
x 24  [fallback ]  The Enigma  (24 combos covered)
x 23  [fallback ]  Heritage  (23 combos covered)
x 23  [fallback ]  Succession  (23 combos covered)
x 23  [fallback ]  Tyranny of Heaven  (23 combos covered)
x 22  [fallback ]  Commemoration  (22 combos covered)
x 22  [fallback ]  Posterity  (22 combos covered)
x 21  [fallback ]  Techeun Force  (21 combos covered)
x 20  [fallback ]  Accrued Redemption  (20 combos covered)
x 20  [fallback ]  Prophet of Doom  (20 combos covered)
x 19  [fallback ]  Neoptolemus II  (19 combos covered)
x 19  [fallback ]  Transfiguration  (19 combos covered)
x 18  [fallback ]  Chattering Bone  (18 combos covered)
x 18  [fallback ]  Nation of Beasts  (18 combos covered)
x 18  [fallback ]  The Supremacy  (18 combos covered)
x 17  [fallback ]  Come to Pass  (17 combos covered)
x 16  [preferred]  Strident Whistle  (52 combos covered)
x 16  [fallback ]  Adverse Possession IX  (16 combos covered)
x 16  [fallback ]  Apex Predator  (16 combos covered)
x 16  [fallback ]  Omniscient Eye  (16 combos covered)
x 16  [fallback ]  Pro Memoria  (16 combos covered)
x 16  [fallback ]  Trustee  (16 combos covered)
x 16  [fallback ]  Zealot's Reward  (16 combos covered)
x 15  [preferred]  Blowout  (48 combos covered)
x 15  [fallback ]  Age-Old Bond  (15 combos covered)
x 15  [fallback ]  Reckless Oracle  (15 combos covered)
x 13  [preferred]  Retrofuturist  (49 combos covered)
x 13  [preferred]  Joxer's Longsword  (42 combos covered)
x 13  [preferred]  Breakneck  (40 combos covered)
x 13  [fallback ]  Bequest  (13 combos covered)
x 13  [fallback ]  Controlling Vision  (13 combos covered)
x 13  [fallback ]  Crux Termination IV  (13 combos covered)
x 13  [fallback ]  Suspectum-4fr  (13 combos covered)
x 12  [preferred]  Midha's Reckoning (Harrowed)  (35 combos covered)
x 12  [fallback ]  Ancient Gospel  (12 combos covered)
x 12  [fallback ]  Arsenic Bite-4b  (12 combos covered)
x 11  [preferred]  Non-Denouement (Adept)  (34 combos covered)
x 11  [fallback ]  Fel Taradiddle  (11 combos covered)
x 11  [fallback ]  Likely Suspect  (11 combos covered)
x 10  [preferred]  Lubrae's Ruin (Adept)  (47 combos covered)
x 10  [preferred]  Corrective Measure (Timelost)  (41 combos covered)
x 10  [preferred]  Laser Painter  (39 combos covered)
x 10  [preferred]  Critical Anomaly (Adept)  (38 combos covered)
x 10  [preferred]  Wicked Sister  (34 combos covered)
x 10  [fallback ]  Combined Action  (10 combos covered)
x 10  [fallback ]  Cruoris FR4  (10 combos covered)
x 10  [fallback ]  Father's Sins  (10 combos covered)
x 10  [fallback ]  Forensic Nightmare  (10 combos covered)
x 10  [fallback ]  Ignition Code  (10 combos covered)
x 10  [fallback ]  Judgment of Kelgorath  (10 combos covered)
x 10  [fallback ]  Lethophobia  (10 combos covered)
x 10  [fallback ]  Nezarec's Whisper  (10 combos covered)
x 10  [fallback ]  Sacred Provenance  (10 combos covered)
x 10  [fallback ]  Scalar Potential  (10 combos covered)
x 10  [fallback ]  Scatter Signal  (10 combos covered)
x 10  [fallback ]  Swarm of the Raven  (10 combos covered)
x 10  [fallback ]  The Eremite  (10 combos covered)
       Perk 2 (col3): Ancillary Ordinance, Target Lock, Wellspring
       Combos covered by this copy: 7

# 477  [preferred/3x3]  Exile's Curse
       Perk 1 (col2): No Distractions, Pulse Monitor, Slideshot
       Perk 2 (col3): Celerity, Kickstart, Vorpal Weapon
       Combos covered by this copy: 7

# 478  [preferred/3x3]  Patron of Lost Causes
       Perk 1 (col2): Field Prep, Full Auto Trigger System, Grave Robber
       Perk 2 (col3): Elemental Capacitor, Explosive Payload, Vorpal Weapon
       Combos covered by this copy: 8

# 479  [preferred/3x3]  Death Adder
       Perk 1 (col2): Dynamic Sway Reduction, Hip-Fire Grip, Mulligan
       Perk 2 (col3): Disruption Break, Dragonfly, Quickdraw
       Combos covered by this copy: 7

# 480  [preferred/3x3]  Bad Omens
       Perk 1 (col2): Destabilizing Rounds, Light Touch, Tracking Module
       Perk 2 (col3): Cluster Bomb, Quickdraw, Withering Gaze
       Combos covered by this copy: 7

# 481  [preferred/3x3]  Cynosure
       Perk 1 (col2): Clown Cartridge, Field Prep, Tracking Module
       Perk 2 (col3): Desperate Measures, Explosive Light, Reverberation
       Combos covered by this copy: 7

# 482  [preferred/3x3]  Abyssal Edge
       Perk 1 (col2): Flash Counter, Relentless Strikes, Valiant Charge
       Perk 2 (col3): Demolitionist, En Garde, Sword Logic
       Combos covered by this copy: 7

# 483  [preferred/3x3]  The Slammer
       Perk 1 (col2): Chain Reaction, Eager Edge, Pugilist
       Perk 2 (col3): Cold Steel, Collective Action, One for All
       Combos covered by this copy: 7

# 484  [preferred/3x3]  The Ringing Nail
       Perk 1 (col2): Dragonfly, Incandescent, Keep Away
       Perk 2 (col3): Disruption Break, Onslaught, Rampage
       Combos covered by this copy: 7

# 485  [preferred/3x3]  Tempered Dynamo
       Perk 1 (col2): Backup Plan, Kickstart, Rewind Rounds
       Perk 2 (col3): Closing Time, Gear Shift, Surrounded
       Combos covered by this copy: 7

# 486  [preferred/3x3]  Romantic Death
       Perk 1 (col2): Feeding Frenzy, Repulsor Brace, Threat Detector
       Perk 2 (col3): Chain Reaction, Destabilizing Rounds, Impulse Amplifier
       Combos covered by this copy: 7

# 487  [preferred/3x3]  Dimensional Hypotrochoid
       Perk 1 (col2): Envious Arsenal, Field Prep, Rimestealer
       Perk 2 (col3): Disruption Break, Empty Traits Socket, Thresh
       Combos covered by this copy: 7

# 488  [preferred/3x3]  Pure Poetry
       Perk 1 (col2): Air Assault, Ensemble, Shoot to Loot
       Perk 2 (col3): Osmosis, Pugilist, Swashbuckler
       Combos covered by this copy: 7

# 489  [preferred/3x3]  Prolonged Engagement
       Perk 1 (col2): Air Assault, Dynamic Sway Reduction, Outlaw
       Perk 2 (col3): Encore, Pugilist, Rangefinder
       Combos covered by this copy: 7

# 490  [preferred/3x3]  Nullify (Adept)
       Perk 1 (col2): Burning Ambition, Collective Demolition, Under-Over
       Perk 2 (col3): Attrition Orbs, Desperate Measures, Sword Logic
       Combos covered by this copy: 7

# 491  [preferred/3x3]  Mirror Imago (Adept)
       Perk 1 (col2): Grave Robber, Recycled Energy, To the Pain
       Perk 2 (col3): Hatchling, Offhand Strike, Unrelenting
       Combos covered by this copy: 7

# 492  [preferred/3x3]  Fatebringer (Timelost)
       Perk 1 (col2): Explosive Payload, Osmosis, Stopping Power
       Perk 2 (col3): All-Star, Elemental Honing, Magnificent Howl
       Combos covered by this copy: 7

# 493  [preferred/3x3]  Corundum Hammer
       Perk 1 (col2): Fragile Focus, Shoot to Loot, Slice
       Perk 2 (col3): Elemental Honing, Keep Away, Opening Shot
       Combos covered by this copy: 7

# 494  [preferred/3x3]  Forced Memorializer
       Perk 1 (col2): Auto-Loading Holster, Lone Wolf, Rapid Hit
       Perk 2 (col3): Ancillary Ordinance, Kinetic Tremors, Outlaw
       Combos covered by this copy: 7

# 495  [preferred/3x3]  Blast Furnace
       Perk 1 (col2): Headseeker, Kinetic Tremors, Snapshot Sights
       Perk 2 (col3): Desperate Measures, Frenzy, Rampage
       Combos covered by this copy: 7

# 496  [preferred/3x3]  Abyss Defiant (Adept)
       Perk 1 (col2): Enlightened Action, Outlaw, Reconstruction
       Perk 2 (col3): Binary Orbit, Collective Pugilism, Incandescent
       Combos covered by this copy: 7

# 497  [preferred/3x3]  Imminence (Adept)
       Perk 1 (col2): Dynamic Sway Reduction, Fragile Focus, Tear
       Perk 2 (col3): Binary Orbit, Strategist, Target Lock
       Combos covered by this copy: 7

# 498  [preferred/3x3]  Jurisprudent
       Perk 1 (col2): Lone Wolf, Recycled Energy, Tunnel Vision
       Perk 2 (col3): Explosive Payload, Focused Fury, Headstone
       Combos covered by this copy: 7

# 499  [preferred/3x3]  A Distant Pull
       Perk 1 (col2): Moving Target, Overflow, Tunnel Vision
       Perk 2 (col3): Collective Action, Discord, Killing Wind
       Combos covered by this copy: 7

# 500  [preferred/3x3]  Wild Style
       Perk 1 (col2): Danger Zone, Reconstruction, Unrelenting
       Perk 2 (col3): Attrition Orbs, Collective Action, Surrounded
       Combos covered by this copy: 7

# 501  [preferred/3x3]  The Beacon
       Perk 1 (col2): Collective Pugilism, Lone Wolf, Rewind Rounds
       Perk 2 (col3): Burning Ambition, Reservoir Burst, Successful Warm-Up
       Combos covered by this copy: 7

# 502  [preferred/3x3]  Palmyra-B
       Perk 1 (col2): Empty Traits Socket, Impulse Amplifier, Unrelenting
       Perk 2 (col3): Chill Clip, Explosive Light, Frenzy
       Combos covered by this copy: 7

# 503  [preferred/3x3]  Axial Lacuna
       Perk 1 (col2): Cornered, Eye of the Storm, Heal Clip
       Perk 2 (col3): Kickstart, Reservoir Burst, Vorpal Weapon
       Combos covered by this copy: 8

# 504  [preferred/3x3]  PLUG ONE.1
       Perk 1 (col2): Feeding Frenzy, Slideways, Well-Rounded
       Perk 2 (col3): Controlled Burst, Desperate Measures, Voltshot
       Combos covered by this copy: 7

# 505  [preferred/3x3]  Mint Retrograde
       Perk 1 (col2): Beacon Rounds, Envious Arsenal, Field Prep
       Perk 2 (col3): Cascade Point, Elemental Honing, Master of Arms
       Combos covered by this copy: 7

# 506  [preferred/3x3]  Herod-C
       Perk 1 (col2): Compulsive Reloader, Dynamic Sway Reduction, Shoot to Loot
       Perk 2 (col3): Moving Target, Multikill Clip, Turnabout
       Combos covered by this copy: 7

# 507  [preferred/3x3]  Haliaetus
       Perk 1 (col2): Auto-Loading Holster, Cluster Bomb, Envious Assassin
       Perk 2 (col3): Bipod, Collective Pugilism, Elemental Honing
       Combos covered by this copy: 7

# 508  [preferred/3x3]  Forgiveness
       Perk 1 (col2): Offhand Strike, Proximity Power, Tap the Trigger
       Perk 2 (col3): Adrenaline Junkie, Desperate Measures, Loose Change
       Combos covered by this copy: 7

# 509  [preferred/3x3]  Doomsday
       Perk 1 (col2): Ambitious Assassin, Envious Arsenal, Supercharged Magazine
       Perk 2 (col3): Explosive Light, Full Court, Jolting Feedback
       Combos covered by this copy: 7

# 510  [preferred/3x3]  Wicked Sister
       Perk 1 (col2): Danger Zone, Quickdraw, Strategist
       Perk 2 (col3): Deconstruct, Demolitionist, One for All
       Combos covered by this copy: 8

# 511  [preferred/3x3]  Dead Weight
       Perk 1 (col2): Auto-Loading Holster, Dual Loader, Lead from Gold
       Perk 2 (col3): Demolitionist, Golden Tricorn, Turnabout
       Combos covered by this copy: 7

# 512  [preferred/3x3]  Cataphract GL3
       Perk 1 (col2): Blast Distributor, Lead From Light, Quickdraw
       Perk 2 (col3): Chain Reaction, Explosive Light, Impromptu Ammunition
       Combos covered by this copy: 7

# 513  [preferred/3x3]  Micromort
       Perk 1 (col2): Clown Cartridge, Cluster Bomb, Field Prep
       Perk 2 (col3): Binary Orbit, Chain Reaction, Voltshot
       Combos covered by this copy: 7

# 514  [preferred/3x3]  Action Item
       Perk 1 (col2): Deconstruct, Envious Assassin, High-Impact Reserves
       Perk 2 (col3): Detonator Beam, Headstone, Target Lock
       Combos covered by this copy: 7

# 515  [preferred/3x3]  Taipan-4fr
       Perk 1 (col2): Ensemble, Fragile Focus, Genesis
       Perk 2 (col3): Box Breathing, Firing Line, Focused Fury
       Combos covered by this copy: 7

# 516  [preferred/3x3]  Albruna-D
       Perk 1 (col2): Air Assault, No Distractions, Triple Tap
       Perk 2 (col3): Cascade Point, Slickdraw, Under-Over
       Combos covered by this copy: 8

# 517  [preferred/3x3]  No Reprieve
       Perk 1 (col2): Feeding Frenzy, Pugilist, Surplus
       Perk 2 (col3): Empty Traits Socket, Headstone, Snapshot Sights
       Combos covered by this copy: 7

# 518  [preferred/3x3]  MIDA Mini-Tool
       Perk 1 (col2): Attrition Orbs, Envious Assassin, Loose Change
       Perk 2 (col3): Aggregate Charge, Burning Ambition, Offhand Strike
       Combos covered by this copy: 7

# 519  [preferred/3x3]  Ouster Engine
       Perk 1 (col2): Air Trigger, Auto-Loading Holster, Stats for All
       Perk 2 (col3): Chaos Reshaped, Crystalline Corpsebloom, Vorpal Weapon
       Combos covered by this copy: 7

# 520  [preferred/3x3]  Last Thursday
       Perk 1 (col2): Built to Blast, Strategist, Subsistence
       Perk 2 (col3): Binary Orbit, Elemental Honing, Hatchling
       Combos covered by this copy: 7

# 521  [preferred/3x3]  Inbound Surveillance
       Perk 1 (col2): Lucky Shot, Shoot to Loot, Stopping Power
       Perk 2 (col3): Adhesive Ordnance, Explosive Payload, Frenzy
       Combos covered by this copy: 7

# 522  [preferred/3x3]  Horror Story
       Perk 1 (col2): Dynamic Sway Reduction, Elemental Capacitor, Under-Over
       Perk 2 (col3): Adrenaline Junkie, Cascade Point, Vorpal Weapon
       Combos covered by this copy: 7

# 523  [preferred/3x3]  Positive Outlook
       Perk 1 (col2): Perfect Float, Shot Swap, Tap the Trigger
       Perk 2 (col3): Destabilizing Rounds, Golden Tricorn Enhanced, Repulsor Brace
       Combos covered by this copy: 7

# 524  [preferred/3x3]  Festival Flight
       Perk 1 (col2): Blast Distributor, Demolitionist, Transcendent Moment
       Perk 2 (col3): Attrition Orbs, One for All, Vorpal Weapon
       Combos covered by this copy: 7

# 525  [preferred/3x3]  Autumn Wind
       Perk 1 (col2): Envious Assassin, Pugilist, Rangefinder
       Perk 2 (col3): Focused Fury, Multikill Clip, Rampage
       Combos covered by this copy: 7

# 526  [preferred/3x3]  Nessa's Oblation (Adept)
       Perk 1 (col2): Compulsive Reloader, Proximity Power, Reconstruction
       Perk 2 (col3): Demoralize, Destabilizing Rounds, Meganeura
       Combos covered by this copy: 8

# 527  [preferred/3x3]  Precipial
       Perk 1 (col2): One-Two Punch, Reconstruction, Repulsor Brace
       Perk 2 (col3): Binary Orbit, Opening Shot, Swashbuckler
       Combos covered by this copy: 8

# 528  [preferred/3x3]  Giver's Blessing
       Perk 1 (col2): Feeding Frenzy, Impromptu Ammunition, Shoot to Loot
       Perk 2 (col3): Adrenaline Junkie, Kinetic Tremors, Zen Moment
       Combos covered by this copy: 7

# 529  [preferred/3x3]  Breakneck
       Perk 1 (col2): Enlightened Action, Eye of the Storm, Heating Up
       Perk 2 (col3): Adagio, Attrition Orbs, Deconstruct
       Combos covered by this copy: 8

# 530  [preferred/3x3]  Bygones
       Perk 1 (col2): Lone Wolf, Outlaw, Rangefinder
       Perk 2 (col3): Firefly, High Ground, Osmosis
       Combos covered by this copy: 7

# 531  [preferred/3x3]  Peculiar Charm
       Perk 1 (col2): Attrition Orbs, Impromptu Ammunition, Stopping Power
       Perk 2 (col3): Bewildering Burst, Headseeker, Master of Arms
       Combos covered by this copy: 7

# 532  [preferred/3x3]  Acosmic
       Perk 1 (col2): Reverberation, Slickdraw, Withering Gaze
       Perk 2 (col3): Bait and Switch, Cascade Point, Explosive Light
       Combos covered by this copy: 7

# 533  [preferred/3x3]  Faustus Decline
       Perk 1 (col2): Demolitionist, Rangefinder, Rimestealer
       Perk 2 (col3): Headstone, Precision Instrument, Sword Logic
       Combos covered by this copy: 7

# 534  [preferred/3x3]  Drang
       Perk 1 (col2): Collective Pugilism, Loose Change, Moving Target
       Perk 2 (col3): Binary Orbit, Frenzy, Incandescent
       Combos covered by this copy: 7

# 535  [preferred/3x3]  Borrowed Time
       Perk 1 (col2): Firmly Planted, Heating Up, Overflow
       Perk 2 (col3): Snapshot Sights, Swashbuckler, Tap the Trigger
       Combos covered by this copy: 7

# 536  [preferred/3x3]  Trinary System
       Perk 1 (col2): Ambitious Assassin, Feeding Frenzy, Slideways
       Perk 2 (col3): Backup Plan, Disruption Break, Wellspring
       Combos covered by this copy: 7

# 537  [preferred/3x3]  Xenoclast IV
       Perk 1 (col2): Genesis, Hip-Fire Grip, Pulse Monitor
       Perk 2 (col3): Disruption Break, Killing Wind, Surrounded
       Combos covered by this copy: 7

# 538  [preferred/3x3]  Spoiler Alert
       Perk 1 (col2): Feeding Frenzy, Tunnel Vision, Under Pressure
       Perk 2 (col3): Osmosis, Swashbuckler, Unrelenting
       Combos covered by this copy: 7

# 539  [preferred/3x3]  Servant Leader
       Perk 1 (col2): No Distractions, Outlaw, Pulse Monitor
       Perk 2 (col3): Multikill Clip, Thresh, Wellspring
       Combos covered by this copy: 7

# 540  [preferred/3x3]  Hullabaloo
       Perk 1 (col2): Field Prep, Impulse Amplifier, Voltshot
       Perk 2 (col3): Adrenaline Junkie, Golden Tricorn Enhanced, Rolling Storm
       Combos covered by this copy: 7

# 541  [preferred/3x3]  Fortunate Star
       Perk 1 (col2): Archer's Tempo, Killing Wind, Successful Warm-Up
       Perk 2 (col3): Destabilizing Rounds, Explosive Head, Sword Logic
       Combos covered by this copy: 7

# 542  [preferred/3x3]  Anamnesis (Adept)
       Perk 1 (col2): Archer's Tempo, Dragonfly, Hip-Fire Grip
       Perk 2 (col3): Adagio, Explosive Head, Moving Target
       Combos covered by this copy: 7

# 543  [preferred/3x3]  Eye of Sol
       Perk 1 (col2): Encore, Perpetual Motion, Shot Swap
       Perk 2 (col3): Deconstruct, Firing Line, Opening Shot
       Combos covered by this copy: 7

# 544  [preferred/3x3]  Bug-Out Bag
       Perk 1 (col2): Perpetual Motion, Subsistence, Threat Detector
       Perk 2 (col3): Collective Action, Fragile Focus, Killing Wind
       Combos covered by this copy: 7

# 545  [preferred/3x3]  Sarpedon-D
       Perk 1 (col2): Eddy Current, Impromptu Ammunition, Lead From Light
       Perk 2 (col3): One-Two Punch, Rolling Storm, Trench Barrel
       Combos covered by this copy: 6

# 546  [preferred/3x3]  Aureus Neutralizer
       Perk 1 (col2): Barrel Constrictor, Proximity Power, Threat Remover
       Perk 2 (col3): Adagio, Cascade Point, Closing Time
       Combos covered by this copy: 6

# 547  [preferred/3x3]  Found Verdict (Timelost)
       Perk 1 (col2): Aggregate Charge, Supercharged Magazine, Threat Remover
       Perk 2 (col3): Gear Shift, Rolling Storm, Voltshot
       Combos covered by this copy: 6

# 548  [preferred/3x3]  Nox Perennial V
       Perk 1 (col2): Envious Assassin, Fragile Focus, Loose Change
       Perk 2 (col3): Elemental Capacitor, Hatchling, Kickstart
       Combos covered by this copy: 6

# 549  [preferred/3x3]  Last Man Standing
       Perk 1 (col2): Compulsive Reloader, Hip-Fire Grip, Opening Shot
       Perk 2 (col3): Discord, One for All, Swashbuckler
       Combos covered by this copy: 6

# 550  [preferred/3x3]  The Forward Path
       Perk 1 (col2): Feeding Frenzy, Fourth Time's the Charm, Grave Robber
       Perk 2 (col3): Iron Gaze, Iron Grip, Tap the Trigger
       Combos covered by this copy: 6

# 551  [preferred/3x3]  Hammerhead
       Perk 1 (col2): Destabilizing Rounds, Fourth Time's the Charm, Rampage
       Perk 2 (col3): Desperate Measures, High-Impact Reserves, Onslaught
       Combos covered by this copy: 7

# 552  [preferred/3x3]  Word of Crota (Adept)
       Perk 1 (col2): Collective Demolition, Dragonfly, Enlightened Action
       Perk 2 (col3): Focused Fury, Magnificent Howl, Master of Arms
       Combos covered by this copy: 6

# 553  [preferred/3x3]  Multimach CCX
       Perk 1 (col2): Iron Gaze, Rangefinder, Under-Over
       Perk 2 (col3): Kinetic Tremors, Tap the Trigger, Target Lock
       Combos covered by this copy: 6

# 554  [preferred/3x3]  Malediction
       Perk 1 (col2): Enlightened Action, Moving Target, Sleight of Hand
       Perk 2 (col3): All-Star, Redirection, Tap the Trigger
       Combos covered by this copy: 6

# 555  [preferred/3x3]  Sublimation
       Perk 1 (col2): Eddy Current, Shoot to Loot, Sympathetic Arsenal
       Perk 2 (col3): Adagio, Explosive Payload, Redirection
       Combos covered by this copy: 8

# 556  [preferred/3x3]  Shoreline Dissident
       Perk 1 (col2): Ambitious Assassin, Explosive Payload, Triple Tap
       Perk 2 (col3): Closing Time, Destabilizing Rounds, High Ground
       Combos covered by this copy: 7

# 557  [preferred/3x3]  Jorum's Claw
       Perk 1 (col2): Gutshot Straight, Iron Grip, Outlaw
       Perk 2 (col3): Frenzy, Iron Reach, Kill Clip
       Combos covered by this copy: 6

# 558  [preferred/3x3]  Ill Omen
       Perk 1 (col2): Empty Traits Socket, Relentless Strikes, Valiant Charge
       Perk 2 (col3): En Garde, Surrounded, Whirlwind Blade
       Combos covered by this copy: 6

# 559  [preferred/3x3]  Fortissimo-11
       Perk 1 (col2): Pulse Monitor, Surplus, Unrelenting
       Perk 2 (col3): Adagio, Elemental Capacitor, Focused Fury
       Combos covered by this copy: 6

# 560  [preferred/3x3]  Occluded Finality
       Perk 1 (col2): Mulligan, No Distractions, Snapshot Sights
       Perk 2 (col3): Elemental Capacitor, Eye of the Storm, Iron Reach
       Combos covered by this copy: 6

# 561  [preferred/3x3]  BxR-55 Battler
       Perk 1 (col2): Heating Up, Killing Wind, Outlaw
       Perk 2 (col3): Blunt Execution Rounds, Gutshot Straight, Incandescent
       Combos covered by this copy: 6

# 562  [preferred/3x3]  Felwinter's Lie
       Perk 1 (col2): Cascade Point, Heal Clip, Slickdraw
       Perk 2 (col3): Iron Reach, One-Two Punch, Trench Barrel
       Combos covered by this copy: 6

# 563  [preferred/3x3]  Compass Rose
       Perk 1 (col2): Dual Loader, Grave Robber, To the Pain
       Perk 2 (col3): Barrel Constrictor, Incandescent, Vorpal Weapon
       Combos covered by this copy: 7

# 564  [preferred/3x3]  Deliverance (Adept)
       Perk 1 (col2): Compulsive Reloader, Heating Up, Sleight of Hand
       Perk 2 (col3): Chain Reaction, Chill Clip, Controlled Burst
       Combos covered by this copy: 6

# 565  [preferred/3x3]  Crowning Duologue
       Perk 1 (col2): Air Trigger, Demolitionist, Grave Robber
       Perk 2 (col3): Bipod, Envious Assassin, Reverberation
       Combos covered by this copy: 6

# 566  [preferred/3x3]  Burden of Guilt
       Perk 1 (col2): Ambitious Assassin, Envious Arsenal, Lone Wolf
       Perk 2 (col3): Aggregate Charge, Controlled Burst, Kickstart
       Combos covered by this copy: 6

# 567  [preferred/3x3]  Monody-44
       Perk 1 (col2): Attrition Orbs, Cornered, Subsistence
       Perk 2 (col3): Closing Time, Controlled Burst, Successful Warm-Up
       Combos covered by this copy: 6

# 568  [preferred/3x3]  Ascendancy
       Perk 1 (col2): Attrition Orbs, Field Prep, Reconstruction
       Perk 2 (col3): Bipod, Cluster Bomb, Lasting Impression
       Combos covered by this copy: 6

# 569  [preferred/3x3]  Watchful Eye
       Perk 1 (col2): Eddy Current, Mulligan, Wellspring
       Perk 2 (col3): Jolting Feedback, Killing Tally, Sword Logic
       Combos covered by this copy: 6

# 570  [preferred/3x3]  The Messenger
       Perk 1 (col2): Outlaw, Perpetual Motion, Under-Over
       Perk 2 (col3): Encore, Harmony, Keep Away
       Combos covered by this copy: 6

# 571  [preferred/3x3]  The Heron
       Perk 1 (col2): Disruption Break, Envious Assassin, Replenishing Aegis
       Perk 2 (col3): Destabilizing Rounds, Unrelenting, Unstoppable Force
       Combos covered by this copy: 6

# 572  [preferred/3x3]  Tatara Gaze
       Perk 1 (col2): Discord, Impromptu Ammunition, Light Touch
       Perk 2 (col3): Closing Time, Mega Kill Clip, Voltshot
       Combos covered by this copy: 6

# 573  [preferred/3x3]  Sixth Sense
       Perk 1 (col2): Built to Blast, Lucky Shot, Rapid Hit
       Perk 2 (col3): Desperate Measures, Eye of the Storm, Tear
       Combos covered by this copy: 6

# 574  [preferred/3x3]  Aisha's Embrace
       Perk 1 (col2): Demoralize, Keep Away, Vorpal Weapon
       Perk 2 (col3): Adagio, Destabilizing Rounds, Precision Instrument
       Combos covered by this copy: 6

# 575  [preferred/3x3]  Veles-X
       Perk 1 (col2): Lone Wolf, Repulsor Brace, Tunnel Vision
       Perk 2 (col3): Destabilizing Rounds, Golden Tricorn, Golden Tricorn Enhanced
       Combos covered by this copy: 6

# 576  [preferred/3x3]  Shadow Price
       Perk 1 (col2): Bottomless Grief, Fourth Time's the Charm, Overflow
       Perk 2 (col3): Disruption Break, Dragonfly, Thresh
       Combos covered by this copy: 6

# 577  [preferred/3x3]  Salvager's Salvo
       Perk 1 (col2): Ambitious Assassin, Chain Reaction, Trickle Charge
       Perk 2 (col3): Collective Action, Rolling Storm, Vorpal Weapon
       Combos covered by this copy: 6

# 578  [preferred/3x3]  Roar of the Bear
       Perk 1 (col2): Impulse Amplifier, Snapshot Sights, Tracking Module
       Perk 2 (col3): Auto-Loading Holster, Chain Reaction, Incandescent
       Combos covered by this copy: 6

# 579  [preferred/3x3]  Rake Angle
       Perk 1 (col2): Lead from Gold, Overflow, Rimestealer
       Perk 2 (col3): Close to Melee, Unstoppable Force, Vorpal Weapon
       Combos covered by this copy: 6

# 580  [preferred/3x3]  Perfect Pitch
       Perk 1 (col2): Discord, Heal Clip, Subsistence
       Perk 2 (col3): Focused Fury, Onslaught, Rangefinder
       Combos covered by this copy: 6

# 581  [preferred/3x3]  Last Rite
       Perk 1 (col2): Bewildering Burst, Shoot to Loot, Stopping Power
       Perk 2 (col3): Adhesive Ordnance, Focused Fury, Offhand Strike
       Combos covered by this copy: 6

# 582  [preferred/3x3]  Afterlight (Adept)
       Perk 1 (col2): Ambitious Assassin, Lead from Gold, Pugilist
       Perk 2 (col3): Cornered, Destabilizing Rounds, Swashbuckler
       Combos covered by this copy: 6

# 583  [preferred/3x3]  Veiled Threat
       Perk 1 (col2): Empty Traits Socket, Loose Change, To the Pain
       Perk 2 (col3): Empty Traits Socket, Encore, Moving Target
       Combos covered by this copy: 6

# 584  [preferred/3x3]  Rapacious Appetite
       Perk 1 (col2): Fourth Time's the Charm, Invisible Hand, Well-Rounded
       Perk 2 (col3): Frenzy, One for All, Target Lock
       Combos covered by this copy: 6

# 585  [preferred/3x3]  Uzume RR4
       Perk 1 (col2): Discord, Fourth Time's the Charm, Lead from Gold
       Perk 2 (col3): Explosive Payload, Golden Tricorn Enhanced, Precision Instrument
       Combos covered by this copy: 6

# 586  [preferred/3x3]  Last Foray
       Perk 1 (col2): Envious Assassin, Keep Away, Rewind Rounds
       Perk 2 (col3): Cascade Point, Snapshot Sights, Triple Tap
       Combos covered by this copy: 7

# 587  [preferred/3x3]  Solemn Lie
       Perk 1 (col2): Moving Target, Quickdraw, Trickle Charge
       Perk 2 (col3): Elemental Capacitor, Eye of the Storm, Rolling Storm
       Combos covered by this copy: 6

# 588  [preferred/3x3]  Crisis Inverted
       Perk 1 (col2): Compulsive Reloader, Rapid Hit, Tunnel Vision
       Perk 2 (col3): Adaptive Munitions, Adrenaline Junkie, Opening Shot
       Combos covered by this copy: 7

# 589  [preferred/3x3]  No Feelings
       Perk 1 (col2): Collective Demolition, Outlaw, Rolling Storm
       Perk 2 (col3): Explosive Payload, Gear Shift, Kill Clip
       Combos covered by this copy: 6

# 590  [preferred/3x3]  The Palindrome
       Perk 1 (col2): Collective Demolition, Light Touch, Supercharged Magazine
       Perk 2 (col3): Magnificent Howl, Master of Arms, Opening Shot
       Combos covered by this copy: 7

# 591  [preferred/3x3]  Unwavering Duty
       Perk 1 (col2): Fourth Time's the Charm, Incandescent, Rampage
       Perk 2 (col3): Bait and Switch, Killing Tally, Target Lock
       Combos covered by this copy: 6

# 592  [preferred/3x3]  The Summoner
