Loot,Tiered?,Loot Type,Element,Acquisition Method,Craftable?,Last Updated,Notes
Veiled Tithes Armor,No,Armor,Armor,Vendor Exclusive,No,Witch,
Wyrmguard Armor,No,Armor,Armor,Vendor Exclusive,No,Wish,
Untethered Edge Armor,No,Armor,Armor,Vendor Exclusive,No,Echoes,
Shadestalker Armor,No,Armor,Armor,Vendor Exclusive,No,Revenant,
Apostate's Blade Armor,No,Armor,Armor,Vendor Exclusive,No,Heresy,
,Hawthorne,,,,,,
Unfall,Yes,Rocket Sidearm,Arc,Fireteam Ops Engrams,No,Edge of Fate,
Mercury-A,Yes,Combat Bow,Kinetic,Fireteam Ops Engrams,No,Edge of Fate,
Boomslang-4FR,Yes,Linear Fusion Rifle,Arc,Fireteam Ops Engrams,No,Edge of Fate,
Qua Nilus II,Yes,Submachine Gun,Arc,Fireteam Ops Engrams,No,Edge of Fate,
Drang,Yes,Sidearm,Solar,Fireteam Ops Engrams,No,Edge of Fate,
Mida Mini Tool,Yes,Submachine Gun,Solar,Fireteam Ops Engrams,No,Edge of Fate,
Halieatus,Yes,Rocket Launcher,Strand,Fireteam Ops Engrams,No,Edge of Fate,
Aurora Dawn,Yes,Sword,Stasis,Fireteam Ops Engrams,No,Edge of Fate,
Ahab Char,Yes,Auto Rifle,Solar,Fireteam Ops Engrams,No,Edge of Fate,
Jurisprudent,Yes,Scout Rifle,Stasis,Fireteam Ops Engrams,No,Edge of Fate,
Faustus Decline,Yes,Sidearm,Stasis,Fireteam Ops Engrams,No,Edge of Fate,
Shoreline Dissident,Yes,Sniper Rifle,Void,Fireteam Ops Engrams,No,Edge of Fate,
Forced Memorializer,Yes,Scout Rifle,Kinetic,Fireteam Ops Engrams,No,Edge of Fate,
Seraphine Haze,Yes,Submachine Gun,Stasis,Fireteam Ops Engrams,No,Edge of Fate,
Pre Astyanax IV,Yes,Combat Bow,Solar,Fireteam Ops Engrams,No,Edge of Fate,
Mint Retrograde,Yes,Rocket Pulse Rifle,Strand,Fireteam Ops Engrams,No,Edge of Fate,
Lionfish-4FR,Yes,Fusion Rifle,Stasis,Fireteam Ops Engrams,No,Edge of Fate,
Theodolite,Yes,Special Grenade Launcher,Arc,Fireteam Ops Engrams,No,Edge of Fate,
Outrageous Fortune,Yes,Heavy Grenade Launcher,Solar,Fireteam Ops Engrams,No,Edge of Fate,
The Helmsman,Yes,Sniper Rifle,Arc,Distorted Engrams,No,MoT,
Joxer's Longsword,Yes,Pulse Rifle,Void,Distorted Engrams,No,MoT,
Better Devils,Yes,Hand Cannon,Strand,Distorted Engrams,No,MoT,
Unending Tempest,Yes,Submachine Gun,Stasis,Distorted Engrams,No,MoT,
Randy's Throwing Knife,Yes,Scout Rifle,Kinetic,Distorted Engrams,No,MoT,
Autumn Wind,Yes,Pulse Rifle,Kinetic,Distorted Engrams,No,MoT,
Out of Bounds,Yes,Submachine Gun,Arc,Distorted Engrams,No,MoT,
Sorrow's Verse,Yes,Auto Rifle,Arc,Distorted Engrams,No,MoT,
Survivor's Epitaph,Yes,Hand Cannon,Kinetic,Distorted Engrams,No,MoT,
The Keening,Yes,Rocket Sidearm,Arc,Distorted Engrams,No,MoT,
Frozen Orbit,Yes,Sniper Rifle,Void,Distorted Engrams,No,MoT,
Qua Vinctus IV,Yes,Machine Gun,Strand,Distorted Engrams,No,Renegades,
Ouster Engine,Yes,Heavy Grenade Launcher,Stasis,Distorted Engrams,No,MoT,
Whatchamacallit,Yes,Submachine Gun,Arc,Distorted Engrams,No,MoT,
Salvager's Salvo,Yes,Special Grenade Launcher,Arc,Distorted Engrams,No,MoT,
Null Composure,Yes,Fusion Rifle,Void,Distorted Engrams,No,MoT,
Adored,Yes,Sniper Rifle,Arc,Distorted Engrams,No,MoT,
Mint Retrograde,Yes,Rocket Pulse Rifle,Strand,Distorted Engrams,No,MoT,
The Palindrome,Yes,Hand Cannon,Arc,Distorted Engrams,No,MoT,
Lotus-Eater,Yes,Rocket Sidearm,Void,Distorted Engrams,No,MoT,
The Slammer,Yes,Sword,Stasis,Distorted Engrams,No,MoT,
D.F.A.,Yes,Hand Cannon,Kinetic,Distorted Engrams,No,MoT,
The Hothead,Yes,Rocket Launcher,Arc,Distorted Engrams,No,MoT,
Steel Feather Repeater,Yes,Auto Rifle,Kinetic,Distorted Engrams,No,MoT,
Perfect Paradox,Yes,Shotgun,Kinetic,Distorted Engrams,No,MoT,
Red Tape,Yes,Scout Rifle,Stasis,Distorted Engrams,No,MoT,
Liturgy,Yes,Special Grenade Launcher,Stasis,Distorted Engrams,No,MoT,
Nox Perennial V,Yes,Fusion Rifle,Stasis,Distorted Engrams,No,MoT,
Chroma Rush,Yes,Auto Rifle,Kinetic,Distorted Engrams,No,MoT,
Infinite Paths 8,Yes,Pulse Rifle,Arc,Distorted Engrams,No,MoT,
Temptation's Hook,Yes,Sword,Arc,Distorted Engrams,No,MoT,
Heliocentric QSC,Yes,Sidearm,Solar,Distorted Engrams,No,MoT,
Death Adder,Yes,Submachine Gun,Solar,Distorted Engrams,No,MoT,
Brass Attacks,Yes,Rocket Sidearm,Void,Distorted Engrams,No,MoT,
Gridskipper,Yes,Pulse Rifle,Void,Distorted Engrams,No,MoT,
Trendsetter,Yes,Auto Rifle,Arc,Distorted Engrams,No,MoT,
Inbound Surveillance,Yes,Scout Rifle,Kinetic,Distorted Engrams,No,MoT,
Luminopotent Armor,Yes,Armor,Armor,Distorted Engrams,No,MoT,
Eutechnology Armor,Yes,Armor,Armor,Distorted Engrams,No,MoT,
Triumphal Anthem Armor,Yes,Armor,Armor,Distorted Engrams,No,MoT,
Triumphal Anthem Armor,Yes,Armor,Armor,Distorted Engrams,No,MoT,
Eutechnology Armor,Yes,Armor,Armor,Distorted Engrams,No,MoT,
Smoke Jumper Armor,Yes,Armor,Armor,Fireteam Ops Engrams,No,Edge of Fate,
Techsec Armor,Yes,Armor,Armor,Fireteam Ops Engrams,No,Edge of Fate,
Bushido Armor,Yes,Armor,Armor,Fireteam Ops Engrams,No,Edge of Fate,
Promised Reunion Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,The Final Shape,
Willbreaker's Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Witch,
Of Agony Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Lightfall,
War Numen's Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Plunder,
Resonant Fury Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Witch Queen,
Kabr's Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Splicer,
Legacy's Oath Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Beyond Light,
Of Ascendancy Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Shadowkeep,
Great Hunt Armor,No,Armor,Armor,Cost 5 Spoils / Piece,No,Forsaken,
,Lord Shaxx,,,,,,
Solemn Lie,Yes,Hand Cannon,Arc,Focus,No,MoT,
Redrix's Estoc,Yes,Pulse Rifle,Stasis,Focus,No,MoT,
Deadlock,Yes,Shotgun,Stasis,Focus,No,MoT,
The Riposte,Yes,Auto Rifle,Void,Focus,No,MoT,
Belisarius-D,Yes,Pulse Rifle,Strand,Focus,No,MoT,
Mercurial Overreach,Yes,Sniper Rifle,Arc,Focus,No,MoT,
Rose,Yes,Hand Cannon,Kinetic,Focus,No,MoT,
Peculiar Charm,Yes,Submachine Gun,Kinetic,Focus,No,Renegades,
Solemn Remembrance,Yes,Hand Cannon,Stasis,Focus,No,Edge of Fate,
Joxer's Longsword,Yes,Pulse Rifle,Void,Focus,No,MoT,
Better Devils,Yes,Hand Cannon,Strand,Focus,No,MoT,
Unending Tempest,Yes,Submachine Gun,Stasis,Focus,No,MoT,
Randy's Throwing Knife,Yes,Scout Rifle,Kinetic,Focus,No,MoT,
Autumn Wind,Yes,Pulse Rifle,Kinetic,Focus,No,MoT,
Out of Bounds,Yes,Submachine Gun,Arc,Focus,No,MoT,
Sorrow's Verse,Yes,Auto Rifle,Arc,Focus,No,MoT,
Survivor's Epitaph,Yes,Hand Cannon,Kinetic,Focus,No,MoT,
The Keening,Yes,Rocket Sidearm,Arc,Focus,No,MoT,
Frozen Orbit,Yes,Sniper Rifle,Void,Focus,No,MoT,
The Helmsman,Yes,Sniper Rifle,Arc,Focus,No,MoT,
Qua Vinctus IV,Yes,Machine Gun,Strand,Focus,No,Renegades,
Retrofuturist,Yes,Shotgun,Void,Focus,No,MoT,
Anonymous Autumn,Yes,Sidearm,Arc,Focus,No,MoT,
Last Perdition,Yes,Pulse Rifle,Void,Focus,No,MoT,
Riptide,Yes,Fusion Rifle,Stasis,Focus,No,Renegades,
Mos Athanor IV,Yes,Hand Cannon,Void,Focus,No,Renegades,
Mida Macro-Tool,Yes,Shotgun,Arc,Focus,No,Edge of Fate,
Pure Recollection,Yes,Shotgun,Solar,Focus,No,Edge of Fate,
Returned Memory,Yes,Rocket Sidearm,Void,Focus,No,Edge of Fate,
Stars in Shadow,Yes,Pulse Rifle,Solar,Focus,No,Edge of Fate,
Steel Sybil,No,Sword,Void,Purchase,No,Forsaken,
Wishbringer,No,Shotgun,Solar,Purchase,No,Black Armory,
Crisis Inverted,No,Hand Cannon,Arc,Purchase,No,Witch Queen,
Blowout,No,Rocket Launcher,Arc,Purchase,No,Seraph,
Per Audacia Armor,Yes,Armor,Armor,Focus,No,MoT,
Triumphal Anthem Armor,Yes,Armor,Armor,Focus,No,MoT,
Wild Anthem Armor,Yes,Armor,Armor,Focus,No,Renegades,
Disaster Corps Armor,Yes,Armor,Armor,Focus,No,Edge of Fate,
Last Discipline Armor,Yes,Armor,Armor,Focus,No,Edge of Fate,
Phoenix Strife Type 0 Armor,No,Armor,Armor,Purchase,No,Warmind,
Wing Discipline Armor,No,Armor,Armor,Purchase,No,Arrivals,
Cinder Pinion Armor,No,Armor,Armor,Purchase,No,Hunt,
Clutch Extol,No,Armor,Armor,Purchase,No,Witch Queen,
Crimson Plume,No,Armor,Armor,Purchase,No,Echoes,
,Commander Zavala,,,,,,
Royal Entry,No,Rocket Launcher,Void,Purchase,No,Chosen,
Strident Whistle,No,Combat Bow,Solar,Purchase,No,Haunted,
Pure Poetry,No,Hand Cannon,Kinetic,Purchase,No,Plunder,
Luna Regolith III,No,Sniper Rifle,Solar,Purchase,No,Witch,
Double-Edged Answer,No,Sword,Void,Purchase,No,Wish,
Wicked Sister,No,Heavy Grenade Launcher,Strand,Purchase,No,Revenant,
Positive Outlook,Yes,Auto Rifle,Void,Actively Dropped (Fireteam Ops),No,MoT,
Main Ingredient,Yes,Fusion Rifle,Arc,Actively Dropped (Fireteam Ops),No,MoT,
Service Revolver,Yes,Hand Cannon,Kinetic,Actively Dropped (Fireteam Ops),No,MoT,
Nightshade,Yes,Pulse Rifle,Strand,Actively Dropped (Fireteam Ops),No,MoT,
Cynosure,Yes,Rocket Launcher,Strand,Actively Dropped (Fireteam Ops),No,MoT,
Nameless Midnight,Yes,Scout Rifle,Kinetic,Actively Dropped (Fireteam Ops),No,MoT,
Punching Out,Yes,Sidearm,Solar,Actively Dropped (Fireteam Ops),No,MoT,
Prolonged Engagement,Yes,Submachine Gun,Stasis,Actively Dropped (Fireteam Ops),No,MoT,
Convened Recurve,Yes,Combat Bow,Void,Actively Dropped (Fireteam Ops),No,MoT,
Aurora Dawn,Yes,Sword,Stasis,Actively Dropped (Fireteam Ops),No,MoT,
The Last Dance,Yes,Sidearm,Arc,Vendor Exclusive (Fireteam Ops),No,MoT,
The Third Axiom,Yes,Pulse Rifle,Arc,Vendor Exclusive (Fireteam Ops),No,MoT,
Empty Vessel,Yes,Special Grenade Launcher,Solar,Vendor Exclusive (Fireteam Ops),No,MoT,
Spoiler Alert,Yes,Sidearm,Kinetic,Vendor Exclusive (Fireteam Ops),No,MoT,
Xenoclast IV,Yes,Shotgun,Arc,Vendor Exclusive (Fireteam Ops),No,MoT,
Fortissimo-11,Yes,Shotgun,Kinetic,Vendor Exclusive (Fireteam Ops),No,MoT,
Origin Story,Yes,Auto Rifle,Kinetic,Vendor Exclusive (Fireteam Ops),No,MoT,
Nox Sidereal IV,Yes,Fusion Rifle,Stasis,Vendor Exclusive (Fireteam Ops),No,Renegades,
Psi Aeterna IV,Yes,Rocket Pulse Rifle,Arc,Vendor Exclusive (Fireteam Ops),No,Renegades,
Evening SI4,Yes,Sidearm,Solar,Vendor Exclusive (Fireteam Ops),No,Renegades,
Something Something,Yes,Sniper Rifle,Kinetic,Vendor Exclusive (Fireteam Ops),No,Renegades,
Unfall,Yes,Rocket Sidearm,Arc,Vendor Exclusive (Fireteam Ops),No,Edge of Fate,
Mercury-A,Yes,Combat Bow,Kinetic,Vendor Exclusive (Fireteam Ops),No,Edge of Fate,
Boomslang-4FR,Yes,Linear Fusion Rifle,Arc,Vendor Exclusive (Fireteam Ops),No,Edge of Fate,
Qua Nilus II,Yes,Submachine Gun,Strand,Vendor Exclusive (Fireteam Ops),No,Edge of Fate,
The Hothead,Yes,Rocket Launcher,Arc,Actively Dropped (Pinnacle Ops),No,MoT,
D.F.A.,Yes,Hand Cannon,Kinetic,Actively Dropped (Pinnacle Ops),No,MoT,
The Slammer,Yes,Sword,Stasis,Actively Dropped (Pinnacle Ops),No,MoT,
Lotus-Eater,Yes,Rocket Sidearm,Void,Actively Dropped (Pinnacle Ops),No,MoT,
The Palindrome,Yes,Hand Cannon,Arc,Actively Dropped (Pinnacle Ops),No,MoT,
Mint Retrograde,Yes,Rocket Pulse Rifle,Strand,Actively Dropped (Pinnacle Ops),No,MoT,
Adored,Yes,Sniper Rifle,Arc,Actively Dropped (Pinnacle Ops),No,MoT,
Null Composure,Yes,Fusion Rifle,Void,Actively Dropped (Pinnacle Ops),No,MoT,
Salvager's Salvo,Yes,Special Grenade Launcher,Arc,Actively Dropped (Pinnacle Ops),No,MoT,
Whatchamacallit,Yes,Submachine Gun,Arc,Actively Dropped (Pinnacle Ops),No,MoT,
Ouster Engine,Yes,Special Grenade Launcher,Stasis,Actively Dropped (Pinnacle Ops),No,MoT,
Shadow Price,Yes,Auto Rifle,Arc,Vendor Exclusive (Pinnacle Ops),No,MoT,
Loaded Question,Yes,Fusion Rifle,Arc,Vendor Exclusive (Pinnacle Ops),No,MoT,
Plug One.1,Yes,Fusion Rifle,Arc,Vendor Exclusive (Pinnacle Ops),No,MoT,
Rake Angle,Yes,Glaive,Stasis,Vendor Exclusive (Pinnacle Ops),No,MoT,
Wild Style,Yes,Special Grenade Launcher,Solar,Vendor Exclusive (Pinnacle Ops),No,MoT,
Wendigo GL3,Yes,Heavy Grenade Launcher,Arc,Vendor Exclusive (Pinnacle Ops),No,MoT,
Warden's Law,Yes,Hand Cannon,Kinetic,Vendor Exclusive (Pinnacle Ops),No,MoT,
Scintillation,Yes,Linear Fusion Rifle,Strand,Vendor Exclusive (Pinnacle Ops),No,MoT,
Cruel Mercy,Yes,Pulse Rifle,Arc,Vendor Exclusive (Pinnacle Ops),No,MoT,
Mindbender's Ambition,Yes,Shotgun,Kinetic,Vendor Exclusive (Pinnacle Ops),No,MoT,
Buzzard,Yes,Sidearm,Solar,Vendor Exclusive (Pinnacle Ops),No,MoT,
Uzume RR4,Yes,Sniper Rifle,Solar,Vendor Exclusive (Pinnacle Ops),No,MoT,
Duty Bound,Yes,Auto Rifle,Kinetic,Vendor Exclusive (Pinnacle Ops),No,Renegades,
A Good Shout,Yes,Heavy Combat Bow,Void,Vendor Exclusive (Pinnacle Ops),No,Renegades,
Sarpedon-d,Yes,Hand Cannon,Arc,Vendor Exclusive (Pinnacle Ops),No,Renegades,
Horror's Least,Yes,Pulse Rifle,Arc,Vendor Exclusive (Pinnacle Ops),No,Renegades,
Oxygen SR3,Yes,Scout Rifle,Solar,Vendor Exclusive (Pinnacle Ops),No,Renegades,
Forced Memorializer,Yes,Scout Rifle,Kinetic,Vendor Exclusive (Pinnacle Ops),No,Edge of Fate,
Seraphine Haze,Yes,Submachine Gun,Stasis,Vendor Exclusive (Pinnacle Ops),No,Edge of Fate,
Pre Astyanax IV,Yes,Combat Bow,Solar,Vendor Exclusive (Pinnacle Ops),No,Edge of Fate,
Lionfish-4FR,Yes,Fusion Rifle,Stasis,Vendor Exclusive (Pinnacle Ops),No,Edge of Fate,
Theodolite,Yes,Special Grenade Launcher,Arc,Vendor Exclusive (Pinnacle Ops),No,Edge of Fate,
Outrageous Fortune,Yes,Heavy Grenade Launcher,Solar,Vendor Exclusive (Pinnacle Ops),No,Edge of Fate,
The Ringing Nail,Yes,Auto Rifle,Solar,Actively Dropped (Arena Ops),No,MoT,
The Spiteful Fang,Yes,Combat Bow,Stasis,Actively Dropped (Arena Ops),No,MoT,
Tempered Dynamo,Yes,Fusion Rifle,Arc,Actively Dropped (Arena Ops),No,MoT,
Kindled Orchid,Yes,Hand Cannon,Void,Actively Dropped (Arena Ops),No,MoT,
Hammerhead,Yes,Machine Gun,Void,Actively Dropped (Arena Ops),No,MoT,
Blast Furnace,Yes,Pulse Rifle,Kinetic,Actively Dropped (Arena Ops),No,MoT,
Bellowing Giant,Yes,Rocket Launcher,Void,Actively Dropped (Arena Ops),No,MoT,
No Feelings,Yes,Scout Rifle,Arc,Actively Dropped (Arena Ops),No,MoT,
Tatara Gaze,Yes,Sniper Rifle,Arc,Actively Dropped (Arena Ops),No,MoT,
Stryker's Sure-Hand,Yes,Sword,Void,Actively Dropped (Arena Ops),No,MoT,
Fair Judgment,Yes,Auto Rifle,Stasis,Actively Dropped (Solo Ops),No,MoT,
Resounding,Yes,Fusion Rifle,Strand,Actively Dropped (Solo Ops),No,MoT,
Ecliptic Distaff,Yes,Glaive,Void,Actively Dropped (Solo Ops),No,MoT,
Cry Mutiny,Yes,Heavy Grenade Launcher,Solar,Actively Dropped (Solo Ops),No,MoT,
Malediction,Yes,Hand Cannon,Kinetic,Actively Dropped (Solo Ops),No,MoT,
Chain of Command,Yes,Machine Gun,Stasis,Actively Dropped (Solo Ops),No,MoT,
Veles-X,Yes,Pulse Rifle,Void,Actively Dropped (Solo Ops),No,MoT,
Ascendancy,Yes,Rocket Launcher,Solar,Actively Dropped (Solo Ops),No,MoT,
Last Rite,Yes,Scout Rifle,Kinetic,Actively Dropped (Solo Ops),No,MoT,
Reckless Endangerment,Yes,Shotgun,Kinetic,Actively Dropped (Solo Ops),No,MoT,
Perfect Pitch,Yes,Submachine Gun,Solar,Actively Dropped (Solo Ops),No,MoT,
Chivalric Fire,Yes,Sword,Void,Actively Dropped (Solo Ops),No,MoT,
Luminopotent Armor,Yes,Armor,Armor,Focus,No,MoT,
Ferropotent Armor,Yes,Armor,Armor,Focus,No,Renegades,
Smoke Jumper Armor,Yes,Armor,Armor,Focus,No,Edge of Fate,
Techsec Armor,Yes,Armor,Armor,Focus,No,Edge of Fate,
Eutechnoloty Armor,Yes,Armor,Armor,Focus,No,MoT,
Swordmaster's Armor,Yes,Armor,Armor,Focus,No,Renegades,
Bushido Armor,Yes,Armor,Armor,Focus,No,Edge of Fate,
The Shelter in Place Armor,Yes,Armor,Armor,Purchase,No,Warmind,
Triumphal Anthem Armor,Yes,Armor,Armor,Vanguard Armory,No,MoT,
Vigil of Heroes Armor,No,Armor,Armor,Purchase,No,Arrivals,
Phobos Warden Armor,No,Armor,Armor,Purchase,No,Hunt,
Photosuede Armor,No,Armor,Armor,Purchase,No,Witch Queen,
Wall-Watcher Armor,No,Armor,Armor,Purchase,No,Echoes,
,Tenet of Bravery,,,,,,
Phoneutria Fera,Yes,Hand Cannon,Solar,Purchase,No,Edge of Fate,
Trachinus,Yes,Shotgun,Stasis,Purchase,No,Edge of Fate,
Synanceia,Yes,Sword,Solar,Purchase,No,Edge of Fate,
Ribbontail,Yes,Trace Rifle,Strand,Purchase,No,Edge of Fate,
Submersion,Yes,Heavy Combat Bow,Stasis,Purchase,No,Edge of Fate,
Romantic Death,Yes,Special Grenade Launcher,Void,Purchase,No,Edge of Fate,
Folded Root,Yes,Rocket Launcher,Void,Purchase,No,Edge of Fate,
King Orfeo,Yes,Combat Bow,Arc,Purchase,No,Renegades,
The Heron,Yes,Glaive,Void,Purchase,No,Renegades,
Action Item,Yes,Trace Rifle,Stasis,Purchase,No,Renegades,
Micromort,Yes,Rocket Launcher,Arc,Purchase,No,Renegades,
Gizmo Weft,Yes,Special Grenade Launcher,Strand,Purchase,No,Renegades,
Sixth Sense,Yes,Hand Cannon,Strand,Purchase,No,MoT,
Hardline Cut,Yes,Sword,Arc,Purchase,No,MoT,
Compass Rose,Yes,Shotgun,Solar,Purchase,No,MoT,
Crowning Duologue,Yes,Rocket Launcher,Strand,Purchase,No,MoT,
Fortunate Star,Yes,Combat Bow,Void,Purchase,No,Edge of Fate,
Festival Flight,Yes,Special Grenade Launcher,Strand,Purchase,No,Edge of Fate,
Yeartide Apex,Yes,Submachine Gun,Solar,Purchase,No,Edge of Fate,
Dawn Far Off,Yes,Machine Gun,Solar,Purchase,No,MoT,
Rapid Growth,Yes,Sniper Rifle,Arc,Purchase,No,MoT,
Something New,Yes,Hand Cannon,Stasis,Purchase,No,MoT,
Hushed Whisper,Yes,Combat Bow,Strand,Purchase,No,Edge of Fate,
Arcane Embrace,Yes,Shotgun,Arc,Purchase,No,Edge of Fate,
Gunburn,Yes,Submachine Gun,Strand,Purchase,No,Edge of Fate,
Acosmic,Yes,Heavy Grenade Launcher,Void,Purchase,No,MoT,
Horror Story,Yes,Auto Rifle,Kinetic,Purchase,No,MoT,
Mechabre,Yes,Sniper Rifle,Arc,Purchase,No,MoT,
Fimbulwinter's Stitch,Yes,Sidearm,Arc,Purchase,No,Renegades,
Permafrost,Yes,Special Grenade Launcher,Stasis,Purchase,No,Renegades,
Mistral Lift,Yes,Linear Fusion Rifle,Void,Purchase,No,Renegades,
Stay Frosty,Yes,Pulse Rifle,Stasis,Purchase,No,MoT,
Albedo Wing,Yes,Glaive,Arc,Purchase,No,MoT,
Zephyr,Yes,Sword,Stasis,Purchase,No,MoT,
The Beacon,Yes,Fusion Rifle,Solar,Purchase,No,Renegades,
Triple Laureate,Yes,Hand Cannon,Stasis,Purchase,No,Renegades,
Keraunios,Yes,Trace Rifle,Arc,Purchase,No,Renegades,
Hullabaloo,Yes,Special Grenade Launcher,Arc,Purchase,No,MoT,
Taraxippos,Yes,Scout Rifle,Strand,Purchase,No,MoT,
The Title,Yes,Submachine Gun,Void,Purchase,No,MoT,
Psi Aeterna IV,Yes,Rocket Pulse Rifle,Arc,Purchase,No,Renegades,
Something Something,Yes,Sniper Rifle,Kinetic,Purchase,No,Renegades,
Evening SI4,Yes,Sidearm,Solar,Purchase,No,Renegades,
Unfall,Yes,Rocket Launcher,Arc,Purchase,No,Edge of Fate,
Mercury-A,Yes,Combat Bow,Kinetic,Purchase,No,Edge of Fate,
Qua Nilus II,Yes,Submachine Gun,Strand,Purchase,No,Edge of Fate,
Boomslang-4FR,Yes,Linear Fusion Rifle,Arc,Purchase,No,Edge of Fate,
Sarpedon-D,Yes,Hand Cannon,Arc,Purchase,No,Renegades,
A Good Shout,Yes,Heavy Combat Bow,Void,Purchase,No,Renegades,
Oxygen SR3,Yes,Scout Rifle,Solar,Purchase,No,Renegades,
Horror's Least,Yes,Pulse Rifle,Arc,Purchase,No,Renegades,
Duty Bound,Yes,Auto Rifle,Kinetic,Purchase,No,Renegades,
Seraphine Haze,Yes,Submachine Gun,Stasis,Purchase,No,Edge of Fate,
Forced Memorializer,Yes,Scout Rifle,Kinetic,Purchase,No,Edge of Fate,
Theodolite,Yes,Special Grenade Launcher,Arc,Purchase,No,Edge of Fate,
Lionfish-4FR,Yes,Fusion Rifle,Stasis,Purchase,No,Edge of Fate,
Outrageous Fortune,Yes,Heavy Grenade Launcher,Solar,Purchase,No,Edge of Fate,
Pre Astyanax IV,Yes,Combat Bow,Solar,Purchase,No,Edge of Fate,
Riptide,Yes,Fusion Rifle,Stasis,Purchase,No,Renegades,
Mos Athanor IV,Yes,Hand Cannon,Void,Purchase,No,Renegades,
Mida Macro-Tool,Yes,Shotgun,Arc,Purchase,No,Edge of Fate,
Returned Memory,Yes,Rocket Sidearm,Solar,Purchase,No,Edge of Fate,
Pure Recollection,Yes,Shotgun,Void,Purchase,No,Edge of Fate,
Stars in Shadow,Yes,Pulse Rifle,Solar,Purchase,No,Edge of Fate,
Monody-44,Yes,Fusion Rifle,Void,Purchase,No,Renegades,
Motif-41,Yes,Special Grenade Launcher,Solar,Purchase,No,Renegades,
Eighty-Six,Yes,Sword,Strand,Purchase,No,Renegades,
Hawthorne's Field-Forged Shotgun,Yes,Shotgun,Kinetic,Purchase,No,Renegades,
Drang,Yes,Rocket Sidearm,Solar,Purchase,No,Edge of Fate,
Mida Mini Tool,Yes,Submachine Gun,Solar,Purchase,No,Edge of Fate,
Halieatus,Yes,Rocket Launcher,Strand,Purchase,No,Edge of Fate,
Ahab Char,Yes,Auto Rifle,Solar,Purchase,No,Edge of Fate,
Jurisprudent,Yes,Scout Rifle,Stasis,Purchase,No,Edge of Fate,
Faustus Decline,Yes,Rocket Sidearm,Stasis,Purchase,No,Edge of Fate,
Shoreline Dissident,Yes,Sniper Rifle,Void,Purchase,No,Edge of Fate,
Lustrous Armor,Yes,Armor,Armor,Purchase,No,Edge of Fate,
,Monument to Lost Lights,,,,,,
Felwinter's Lie,No,Shotgun,Solar,Legacy Curated Weapon,No,Worthy,
Adored,No,Sniper Rifle,Arc,Legacy Curated Weapon,No,Hunt,
Salvager's Salvo,No,Heavy Grenade Launcher,Arc,Legacy Curated Weapon,No,Chosen,
Null Composure,No,Fusion Rifle,Void,Legacy Curated Weapon,No,Splicer,
Ascendency,No,Rocket Launcher,Solar,Legacy Curated Weapon,No,Lost,
Reckless Endangerment,No,Shotgun,Kinetic,Legacy Curated Weapon,No,Witch Queen,
Chain of Command,No,Machine Gun,Stasis,Legacy Curated Weapon,No,Haunted,
Cry Mutiny,No,Heavy Grenade Launcher,Solar,Legacy Curated Weapon,No,Plunder,
Veles-X,No,Pulse Rifle,Void,Legacy Curated Weapon,No,Seraph,
Ecliptic Distaff,No,Glaive,Void,Legacy Curated Weapon,No,Defiance,
Last Rite,No,Scout Rifle,Kinetic,Legacy Curated Weapon,No,Deep,
Malediction,No,Hand Cannon,Void,Legacy Curated Weapon,No,Witch,
Chivalric Fire,No,Sword,Void,Legacy Curated Weapon,No,Wish,
Perfect Pitch,No,Submachine Gun,Solar,Legacy Curated Weapon,No,Echoes,
Fair Judgment,No,Auto Rifle,Stasis,Legacy Curated Weapon,No,Revenant,
Resounding,No,Fusion Rifle,Strand,Legacy Curated Weapon,No,Heresy,
Luna's Howl,No,Hand Cannon,Solar,Legacy Crucible Weapons,No,Forsaken,
Not Forgotten,No,Hand Cannon,Solar,Legacy Crucible Weapons,No,Forsaken,
Redrix's Broadsword,No,Pulse Rifle,Kinetic,Legacy Crucible Weapons,No,Forsaken,
The Mountaintop,No,Special Grenade Launcher,Kinetic,Legacy Crucible Weapons,No,Black Armory,
The Recluse,No,Submachine Gun,Void,Legacy Crucible Weapons,No,Drifter,
Revoker,No,Sniper Rifle,Kinetic,Legacy Crucible Weapons,No,Opulence,
Komodo-4FR,No,Linear Fusion Rifle,Solar,Legacy Crucible Weapons,No,Dawn,
21% Delirium,No,Machine Gun,Arc,Legacy Gambit Weapons,No,Drifter,
Exit Strategy,No,Submachine Gun,Kinetic,Legacy Gambit Weapons,No,Undying,
Python,No,Shotgun,Void,Legacy Gambit Weapons,No,Dawn,
Oxygen SR3,No,Scout Rifle,Solar,Legacy Vanguard Weapons,No,Drifter,
Edgewise,No,Heavy Grenade Launcher,Solar,Legacy Vanguard Weapons,No,Undying,
,Xur's Treasure Hoard,,,,,,
