copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_vendor6,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,best_pos,gfs,sample_combos,hash
394,Indebted Kindness,preferred,Sidearm,Arc,1,0,0,0,1,"Danger Zone, Deconstruct, Trickle Charge","Chain Reaction, Rolling Storm, Surrounded",4,1,134,Chain Reaction+Deconstruct | Danger Zone+Rolling Storm | Deconstruct+Rolling Storm | Surrounded+Trickle Charge,2554513694
395,Breakneck,preferred,Auto Rifle,Kinetic,1,0,1,0,1,"Dynamic Sway Reduction, Enlightened Action, Under Pressure","Deconstruct, Demolitionist, Offhand Strike",9,1,893,Deconstruct+Dynamic Sway Reduction | Deconstruct+Enlightened Action | Deconstruct+Under Pressure | Demolitionist+Dynamic Sway Reduction | Demolitionist+Enlightened Action | Demolitionist+Under Pressure | Dynamic Sway Reduction+Offhand Strike | Enlightened Action+Offhand Strike | Offhand Strike+Under Pressure,2026755633
396,Action Item,preferred,Trace Rifle,Stasis,1,0,0,0,1,"Demolitionist, High-Impact Reserves, Rimestealer","Detonator Beam, Elemental Honing, Killing Tally",6,1,261,Demolitionist+Detonator Beam | Demolitionist+Elemental Honing | Detonator Beam+Rimestealer | Elemental Honing+High-Impact Reserves | Elemental Honing+Rimestealer | Killing Tally+Rimestealer,527989828
397,Abyssal Edge,preferred,Sword,Strand,1,0,0,0,1,"Duelist's Trance, Energy Transfer, Flash Counter","Demolitionist, Hatchling, Sword Logic",9,1,276,Demolitionist+Duelist's Trance | Demolitionist+Energy Transfer | Demolitionist+Flash Counter | Duelist's Trance+Hatchling | Duelist's Trance+Sword Logic | Energy Transfer+Hatchling | Energy Transfer+Sword Logic | Flash Counter+Hatchling | Flash Counter+Sword Logic,4221591387
398,Albedo Wing,preferred,Glaive,Arc,1,0,0,0,1,"Beacon Rounds, Immovable Object, Replenishing Aegis","Demolitionist, Golden Tricorn, Golden Tricorn Enhanced",9,1,225,Beacon Rounds+Demolitionist | Beacon Rounds+Golden Tricorn | Beacon Rounds+Golden Tricorn Enhanced | Demolitionist+Immovable Object | Demolitionist+Replenishing Aegis | Golden Tricorn+Immovable Object | Golden Tricorn+Replenishing Aegis | Golden Tricorn Enhanced+Immovable Object | Golden Tricorn Enhanced+Replenishing Aegis,2680976411
399,Sorrow's Verse,preferred,Auto Rifle,Arc,1,0,1,0,1,"Recycled Energy, Rewind Rounds, Tap the Trigger","Demolitionist, Frenzy, Multikill Clip",9,1,476,Demolitionist+Recycled Energy | Demolitionist+Rewind Rounds | Demolitionist+Tap the Trigger | Frenzy+Recycled Energy | Frenzy+Rewind Rounds | Frenzy+Tap the Trigger | Multikill Clip+Recycled Energy | Multikill Clip+Rewind Rounds | Multikill Clip+Tap the Trigger,2557966895
400,Iterative Loop,preferred,Fusion Rifle,Arc,1,0,0,1,1,"Slickdraw, Successful Warm-Up, Supercharged Magazine","Adrenaline Junkie, Demolitionist, Elemental Capacitor",7,1,651,Adrenaline Junkie+Slickdraw | Adrenaline Junkie+Successful Warm-Up | Demolitionist+Slickdraw | Demolitionist+Successful Warm-Up | Elemental Capacitor+Slickdraw | Elemental Capacitor+Successful Warm-Up | Elemental Capacitor+Supercharged Magazine,1289796511
401,Perfect Paradox,preferred,Shotgun,Kinetic,1,0,0,0,1,"Demolitionist, Field Prep, Firmly Planted","One-Two Punch, Swashbuckler, Trench Barrel",6,1,391,Demolitionist+Trench Barrel | Field Prep+One-Two Punch | Field Prep+Swashbuckler | Field Prep+Trench Barrel | Firmly Planted+Swashbuckler | Firmly Planted+Trench Barrel,3393519051
402,Veles-X,preferred,Pulse Rifle,Void,1,0,1,0,1,"Demoralize, Lone Wolf, Wellspring","Desperado, Golden Tricorn, Golden Tricorn Enhanced",7,1,371,Demoralize+Desperado | Desperado+Lone Wolf | Desperado+Wellspring | Golden Tricorn+Lone Wolf | Golden Tricorn+Wellspring | Golden Tricorn Enhanced+Lone Wolf | Golden Tricorn Enhanced+Wellspring,438540299
403,Nessa's Oblation (Adept),preferred,Shotgun,Void,0,1,0,1,0,"Envious Assassin, Proximity Power, Reconstruction","Demoralize, Focused Fury, Meganeura",8,1,679,Demoralize+Envious Assassin | Demoralize+Proximity Power | Demoralize+Reconstruction | Envious Assassin+Focused Fury | Focused Fury+Proximity Power | Focused Fury+Reconstruction | Meganeura+Proximity Power | Meganeura+Reconstruction,522366885
404,Doom of Chelchis (Harrowed),preferred,Scout Rifle,Void,0,1,0,1,0,"Demoralize, Destabilizing Rounds, Explosive Payload","Frenzy, One for All, Unrelenting",9,1,472,Demoralize+Frenzy | Demoralize+One for All | Demoralize+Unrelenting | Destabilizing Rounds+Frenzy | Destabilizing Rounds+One for All | Destabilizing Rounds+Unrelenting | Explosive Payload+Frenzy | Explosive Payload+One for All | Explosive Payload+Unrelenting,1184692845
405,Joxer's Longsword,preferred,Pulse Rifle,Void,1,0,1,0,1,"Pugilist, Rewind Rounds, Strategist","Demoralize, Desperado, Headseeker",8,1,923,Demoralize+Pugilist | Demoralize+Rewind Rounds | Demoralize+Strategist | Desperado+Pugilist | Desperado+Rewind Rounds | Desperado+Strategist | Headseeker+Pugilist | Headseeker+Rewind Rounds,157601190
406,Kindled Orchid,preferred,Hand Cannon,Void,1,0,1,0,1,"Kill Clip, Rangefinder, Shoot to Loot","Demoralize, Magnificent Howl, Master of Arms",8,1,336,Demoralize+Rangefinder | Demoralize+Shoot to Loot | Kill Clip+Magnificent Howl | Kill Clip+Master of Arms | Magnificent Howl+Rangefinder | Magnificent Howl+Shoot to Loot | Master of Arms+Rangefinder | Master of Arms+Shoot to Loot,3961462214
407,Exalted Truth,preferred,Hand Cannon,Void,1,0,0,0,1,"Destabilizing Rounds, Lone Wolf, Slideshot","Demoralize, Magnificent Howl, Repulsor Brace",7,1,416,Demoralize+Lone Wolf | Demoralize+Slideshot | Destabilizing Rounds+Magnificent Howl | Lone Wolf+Magnificent Howl | Lone Wolf+Repulsor Brace | Magnificent Howl+Slideshot | Repulsor Brace+Slideshot,3436626079
408,Pointed Inquiry,preferred,Scout Rifle,Void,1,0,0,1,1,"Firmly Planted, Fourth Time's the Charm, Stats for All","Adaptive Munitions, Demoralize, Harmony",6,1,730,Adaptive Munitions+Fourth Time's the Charm | Adaptive Munitions+Stats for All | Demoralize+Fourth Time's the Charm | Demoralize+Stats for All | Firmly Planted+Harmony | Fourth Time's the Charm+Harmony,297296830
409,The Messenger,preferred,Pulse Rifle,Kinetic,1,0,0,0,1,"Discord, Offhand Strike, Outlaw","Desperado, Encore, Headseeker",7,1,379,Desperado+Discord | Desperado+Offhand Strike | Discord+Headseeker | Encore+Offhand Strike | Encore+Outlaw | Headseeker+Offhand Strike | Headseeker+Outlaw,3796795102
410,Belisarius-D,preferred,Pulse Rifle,Strand,1,0,1,0,1,"Elemental Capacitor, Slice, Tear","Desperado, Eye of the Storm, Firefly",9,1,368,Desperado+Elemental Capacitor | Desperado+Slice | Desperado+Tear | Elemental Capacitor+Eye of the Storm | Elemental Capacitor+Firefly | Eye of the Storm+Slice | Eye of the Storm+Tear | Firefly+Slice | Firefly+Tear,747743637
411,The Martlet,preferred,Pulse Rifle,Void,1,0,0,0,1,"Firefly, Headseeker, Loose Change","Desperado, Destabilizing Rounds, Kill Clip",9,1,342,Desperado+Firefly | Desperado+Headseeker | Desperado+Loose Change | Destabilizing Rounds+Firefly | Destabilizing Rounds+Headseeker | Destabilizing Rounds+Loose Change | Firefly+Kill Clip | Headseeker+Kill Clip | Kill Clip+Loose Change,877384
412,Peacebond,preferred,Sidearm,Stasis,1,0,0,0,1,Headstone,"Desperado, Headseeker, Kill Clip",3,1,358,Desperado+Headstone | Headseeker+Headstone | Headstone+Kill Clip,3437370193
413,Stars in Shadow,preferred,Pulse Rifle,Solar,1,0,1,0,1,"Heal Clip, Impromptu Ammunition, Rapid Hit","Burning Ambition, Desperado, Headseeker",6,1,335,Burning Ambition+Rapid Hit | Desperado+Heal Clip | Desperado+Rapid Hit | Headseeker+Heal Clip | Headseeker+Impromptu Ammunition | Headseeker+Rapid Hit,3602242905
414,Phyllotactic Spiral,preferred,Pulse Rifle,Arc,1,0,0,1,1,"Hip-Fire Grip, Perfect Float, Shot Swap","Desperado, Headseeker, Rolling Storm",9,1,774,Desperado+Hip-Fire Grip | Desperado+Perfect Float | Desperado+Shot Swap | Headseeker+Hip-Fire Grip | Headseeker+Perfect Float | Headseeker+Shot Swap | Hip-Fire Grip+Rolling Storm | Perfect Float+Rolling Storm | Rolling Storm+Shot Swap,3635821806
415,Arcane Embrace,preferred,Shotgun,Arc,1,0,0,0,1,"Air Trigger, Slideshot, Threat Detector","Desperado, Swashbuckler, Voltshot",5,1,362,Air Trigger+Swashbuckler | Desperado+Slideshot | Desperado+Threat Detector | Slideshot+Voltshot | Threat Detector+Voltshot,3649985571
416,Phyllotactic Spiral,preferred,Pulse Rifle,Arc,1,0,0,1,1,"Compulsive Reloader, Trickle Charge, Under-Over","Desperado, Gutshot Straight, Headseeker",8,1,774,Compulsive Reloader+Gutshot Straight | Compulsive Reloader+Headseeker | Desperado+Trickle Charge | Desperado+Under-Over | Gutshot Straight+Trickle Charge | Gutshot Straight+Under-Over | Headseeker+Trickle Charge | Headseeker+Under-Over,3635821806
417,Yesteryear,preferred,Pulse Rifle,Void,1,0,1,0,1,"Heating Up, Outlaw, Well-Rounded","Desperado, Repulsor Brace, Under-Over",9,1,1054,Desperado+Heating Up | Desperado+Outlaw | Desperado+Well-Rounded | Heating Up+Repulsor Brace | Heating Up+Under-Over | Outlaw+Repulsor Brace | Outlaw+Under-Over | Repulsor Brace+Well-Rounded | Under-Over+Well-Rounded,4028000428
418,Hammerhead,preferred,Machine Gun,Void,1,0,1,0,1,"Destabilizing Rounds, Rampage, Under-Over","Desperate Measures, High-Impact Reserves, Onslaught",7,1,238,Desperate Measures+Destabilizing Rounds | Desperate Measures+Rampage | Destabilizing Rounds+High-Impact Reserves | Destabilizing Rounds+Onslaught | High-Impact Reserves+Rampage | High-Impact Reserves+Under-Over | Onslaught+Under-Over,1896309757
419,Timeworn Wayfarer,preferred,Scout Rifle,Solar,1,0,0,1,1,"Dual Loader, Strategist, To the Pain","Desperate Measures, Eye of the Storm, Incandescent",5,1,581,Desperate Measures+Dual Loader | Dual Loader+Eye of the Storm | Dual Loader+Incandescent | Eye of the Storm+Strategist | Incandescent+To the Pain,1058098236
420,Blast Furnace,preferred,Pulse Rifle,Kinetic,1,0,1,0,1,"Headseeker, Kinetic Tremors, Snapshot Sights","Desperate Measures, Firefly, One for All",9,1,411,Desperate Measures+Headseeker | Desperate Measures+Kinetic Tremors | Desperate Measures+Snapshot Sights | Firefly+Headseeker | Firefly+Kinetic Tremors | Firefly+Snapshot Sights | Headseeker+One for All | Kinetic Tremors+One for All | One for All+Snapshot Sights,2533990645
421,Axial Lacuna,preferred,Fusion Rifle,Solar,1,0,0,1,1,"Eye of the Storm, Heal Clip, Slickdraw","Desperate Measures, Kickstart, Reservoir Burst",8,1,817,Desperate Measures+Eye of the Storm | Desperate Measures+Heal Clip | Desperate Measures+Slickdraw | Eye of the Storm+Reservoir Burst | Heal Clip+Kickstart | Heal Clip+Reservoir Burst | Kickstart+Slickdraw | Reservoir Burst+Slickdraw,3867373351
422,No Hesitation,preferred,Auto Rifle,Solar,1,0,0,1,1,"Burning Ambition, Physic, Target Lock","Desperate Measures, Disruption Break, Elemental Honing",7,1,702,Burning Ambition+Desperate Measures | Burning Ambition+Disruption Break | Burning Ambition+Elemental Honing | Desperate Measures+Target Lock | Disruption Break+Target Lock | Elemental Honing+Physic | Elemental Honing+Target Lock,1801007332
423,Sarpedon-D,preferred,Hand Cannon,Arc,1,0,1,0,1,"Eddy Current, Impromptu Ammunition, Trickle Charge","Desperate Measures, One-Two Punch, Trench Barrel",9,1,115,Desperate Measures+Eddy Current | Desperate Measures+Impromptu Ammunition | Desperate Measures+Trickle Charge | Eddy Current+One-Two Punch | Eddy Current+Trench Barrel | Impromptu Ammunition+One-Two Punch | Impromptu Ammunition+Trench Barrel | One-Two Punch+Trickle Charge | Trench Barrel+Trickle Charge,3318545829
424,Forgiveness,preferred,Sidearm,Arc,1,0,0,0,1,"Lone Wolf, Proximity Power, Voltshot","Desperate Measures, Headseeker, Loose Change",9,1,378,Desperate Measures+Lone Wolf | Desperate Measures+Proximity Power | Desperate Measures+Voltshot | Headseeker+Lone Wolf | Headseeker+Proximity Power | Headseeker+Voltshot | Lone Wolf+Loose Change | Loose Change+Proximity Power | Loose Change+Voltshot,1552443158
425,PLUG ONE.1,preferred,Fusion Rifle,Arc,1,0,1,0,1,"Feeding Frenzy, Slideways, Well-Rounded","Closing Time, Controlled Burst, Desperate Measures",8,1,181,Closing Time+Feeding Frenzy | Closing Time+Slideways | Controlled Burst+Feeding Frenzy | Controlled Burst+Slideways | Controlled Burst+Well-Rounded | Desperate Measures+Feeding Frenzy | Desperate Measures+Slideways | Desperate Measures+Well-Rounded,3293524502
426,Python,preferred,Shotgun,Void,1,0,1,0,1,"Dimensional Shift, Loose Change, Slideshot","Destabilizing Rounds, Harmony, One-Two Punch",8,1,383,Destabilizing Rounds+Dimensional Shift | Destabilizing Rounds+Slideshot | Dimensional Shift+Harmony | Dimensional Shift+One-Two Punch | Harmony+Loose Change | Harmony+Slideshot | Loose Change+One-Two Punch | One-Two Punch+Slideshot,4276696962
427,Aisha's Embrace,preferred,Scout Rifle,Void,1,0,0,0,1,"Encore, Eye of the Storm, Vorpal Weapon","Destabilizing Rounds, Kill Clip, Withering Gaze",9,1,300,Destabilizing Rounds+Encore | Destabilizing Rounds+Eye of the Storm | Destabilizing Rounds+Vorpal Weapon | Encore+Kill Clip | Encore+Withering Gaze | Eye of the Storm+Kill Clip | Eye of the Storm+Withering Gaze | Kill Clip+Vorpal Weapon | Vorpal Weapon+Withering Gaze,3709368142
428,Ribbontail,preferred,Trace Rifle,Strand,1,0,0,0,1,"Envious Arsenal, Proximity Power, Subsistence","Detonator Beam, Redirection, Tear",8,1,153,Detonator Beam+Envious Arsenal | Detonator Beam+Proximity Power | Detonator Beam+Subsistence | Envious Arsenal+Redirection | Envious Arsenal+Tear | Proximity Power+Tear | Redirection+Subsistence | Subsistence+Tear,407150808
429,Acasia's Dejection (Adept),preferred,Trace Rifle,Solar,0,1,0,1,0,"Keep Away, Perpetual Motion, Reconstruction","Detonator Beam, High-Impact Reserves, Vorpal Weapon",7,1,601,Detonator Beam+Keep Away | Detonator Beam+Perpetual Motion | Detonator Beam+Reconstruction | High-Impact Reserves+Perpetual Motion | High-Impact Reserves+Reconstruction | Keep Away+Vorpal Weapon | Perpetual Motion+Vorpal Weapon,3493494807
430,Ribbontail,preferred,Trace Rifle,Strand,1,0,0,0,1,"Threat Detector, Transcendent Moment, Wellspring","Detonator Beam, Killing Tally, Redirection",9,1,153,Detonator Beam+Threat Detector | Detonator Beam+Transcendent Moment | Detonator Beam+Wellspring | Killing Tally+Threat Detector | Killing Tally+Transcendent Moment | Killing Tally+Wellspring | Redirection+Threat Detector | Redirection+Transcendent Moment | Redirection+Wellspring,407150808
431,Chivalric Fire,preferred,Sword,Void,1,0,1,0,1,"Dimensional Shift, Sharp Harvest, Strategist","Eager Edge, Energy Transfer, Flash Counter",6,1,191,Dimensional Shift+Eager Edge | Eager Edge+Strategist | Energy Transfer+Sharp Harvest | Energy Transfer+Strategist | Flash Counter+Sharp Harvest | Flash Counter+Strategist,938936806
432,Corrective Measure (Timelost),preferred,Machine Gun,Void,0,1,0,1,0,"Dimensional Shift, Firefly, Redirection","Elemental Honing, High-Impact Reserves, Killing Tally",8,1,367,Dimensional Shift+High-Impact Reserves | Dimensional Shift+Killing Tally | Elemental Honing+Firefly | Elemental Honing+Redirection | Firefly+High-Impact Reserves | Firefly+Killing Tally | High-Impact Reserves+Redirection | Killing Tally+Redirection,2334480463
433,Python,preferred,Shotgun,Void,1,0,1,0,1,"Dimensional Shift, Overflow, Repulsor Brace","One-Two Punch, Opening Shot, Trench Barrel",8,1,383,Dimensional Shift+Opening Shot | Dimensional Shift+Trench Barrel | One-Two Punch+Overflow | One-Two Punch+Repulsor Brace | Opening Shot+Overflow | Opening Shot+Repulsor Brace | Overflow+Trench Barrel | Repulsor Brace+Trench Barrel,4276696962
434,Praedyth's Revenge (Timelost),preferred,Sniper Rifle,Kinetic,0,1,0,1,0,"Discord, Envious Arsenal, Fourth Time's the Charm","All-Star, Firefly, High-Impact Reserves",7,1,420,All-Star+Discord | Discord+Firefly | Discord+High-Impact Reserves | Envious Arsenal+Firefly | Envious Arsenal+High-Impact Reserves | Firefly+Fourth Time's the Charm | Fourth Time's the Charm+High-Impact Reserves,2362652544
435,Tempered Dynamo,preferred,Fusion Rifle,Arc,1,0,1,0,1,"Impromptu Ammunition, Rewind Rounds, Supercharged Magazine","Discord, Jolting Feedback, Surrounded",9,1,153,Discord+Impromptu Ammunition | Discord+Rewind Rounds | Discord+Supercharged Magazine | Impromptu Ammunition+Jolting Feedback | Impromptu Ammunition+Surrounded | Jolting Feedback+Rewind Rounds | Jolting Feedback+Supercharged Magazine | Rewind Rounds+Surrounded | Supercharged Magazine+Surrounded,2925315757
436,Riiswalker,preferred,Shotgun,Kinetic,1,0,0,0,1,"Discord, Shot Swap, Slickdraw","Adagio, Fragile Focus, Iron Reach",7,1,275,Adagio+Discord | Adagio+Shot Swap | Adagio+Slickdraw | Discord+Iron Reach | Fragile Focus+Slickdraw | Iron Reach+Shot Swap | Iron Reach+Slickdraw,1764868900
437,Luna's Howl,preferred,Hand Cannon,Solar,1,0,0,0,1,"Discord, Encore, Eye of the Storm","Harmony, Incandescent, Magnificent Howl",8,1,386,Discord+Incandescent | Discord+Magnificent Howl | Encore+Harmony | Encore+Incandescent | Encore+Magnificent Howl | Eye of the Storm+Harmony | Eye of the Storm+Incandescent | Eye of the Storm+Magnificent Howl,3757612024
438,Tatara Gaze,preferred,Sniper Rifle,Arc,1,0,1,0,1,"Discord, Impromptu Ammunition, Light Touch","Box Breathing, Mega Kill Clip, Triple Tap",8,1,180,Box Breathing+Impromptu Ammunition | Box Breathing+Light Touch | Discord+Mega Kill Clip | Discord+Triple Tap | Impromptu Ammunition+Mega Kill Clip | Impromptu Ammunition+Triple Tap | Light Touch+Mega Kill Clip | Light Touch+Triple Tap,3595694326
439,Nox Sidereal IV,preferred,Fusion Rifle,Stasis,1,0,1,0,1,"Demolitionist, Stats for All","Discord, Master of Arms, Reservoir Burst",4,1,226,Demolitionist+Master of Arms | Discord+Stats for All | Master of Arms+Stats for All | Reservoir Burst+Stats for All,2875763009
440,Warden's Law,preferred,Hand Cannon,Kinetic,1,0,1,0,1,"Discord, Enlightened Action, Fourth Time's the Charm","Rampage, Shot Swap, Zen Moment",8,1,391,Discord+Rampage | Discord+Shot Swap | Discord+Zen Moment | Enlightened Action+Shot Swap | Enlightened Action+Zen Moment | Fourth Time's the Charm+Rampage | Fourth Time's the Charm+Shot Swap | Fourth Time's the Charm+Zen Moment,1821529912
441,Xenoclast IV,preferred,Shotgun,Arc,1,0,1,0,1,"Dual Loader, Field Prep, Genesis","Disruption Break, Killing Wind, Rampage",7,1,1175,Disruption Break+Dual Loader | Dual Loader+Killing Wind | Dual Loader+Rampage | Field Prep+Killing Wind | Field Prep+Rampage | Genesis+Killing Wind | Genesis+Rampage,963732594
442,Death Adder,preferred,Submachine Gun,Solar,1,0,0,0,1,"Dynamic Sway Reduction, Mulligan, Subsistence","Disruption Break, Dragonfly, Quickdraw",9,1,241,Disruption Break+Dynamic Sway Reduction | Disruption Break+Mulligan | Disruption Break+Subsistence | Dragonfly+Dynamic Sway Reduction | Dragonfly+Mulligan | Dragonfly+Subsistence | Dynamic Sway Reduction+Quickdraw | Mulligan+Quickdraw | Quickdraw+Subsistence,2742490609
443,Ogma PR6,preferred,Pulse Rifle,Solar,1,0,0,0,1,"Adaptive Munitions, Heating Up, Unrelenting","Disruption Break, Dragonfly, Wellspring",6,1,404,Adaptive Munitions+Wellspring | Disruption Break+Heating Up | Disruption Break+Unrelenting | Dragonfly+Heating Up | Dragonfly+Unrelenting | Unrelenting+Wellspring,324584912
444,Unfall,preferred,Sidearm,Arc,1,0,1,0,1,"Disruption Break, Lead from Gold, Sleight of Hand","Jolting Feedback, One for All, Rolling Storm",7,1,102,Disruption Break+One for All | Disruption Break+Rolling Storm | Jolting Feedback+Lead from Gold | Lead from Gold+One for All | Lead from Gold+Rolling Storm | One for All+Sleight of Hand | Rolling Storm+Sleight of Hand,738446555
445,The Ringing Nail,preferred,Auto Rifle,Solar,1,0,1,0,1,"Heal Clip, Incandescent, Rewind Rounds","Disruption Break, Rampage, Sword Logic",7,1,235,Disruption Break+Heal Clip | Disruption Break+Rewind Rounds | Heal Clip+Sword Logic | Incandescent+Rampage | Incandescent+Sword Logic | Rampage+Rewind Rounds | Rewind Rounds+Sword Logic,4206550094
446,Dimensional Hypotrochoid,preferred,Grenade Launcher,Stasis,1,0,0,1,1,"Envious Arsenal, Rimestealer, Shot Swap","Disruption Break, Thresh, Turnabout",8,1,863,Disruption Break+Rimestealer | Disruption Break+Shot Swap | Envious Arsenal+Thresh | Envious Arsenal+Turnabout | Rimestealer+Thresh | Rimestealer+Turnabout | Shot Swap+Thresh | Shot Swap+Turnabout,1311684613
447,Retraced Path,preferred,Trace Rifle,Solar,1,0,0,1,1,"Adaptive Munitions, Perpetual Motion, Well-Rounded","Disruption Break, Harmony, One for All",8,1,739,Adaptive Munitions+Disruption Break | Adaptive Munitions+Harmony | Adaptive Munitions+One for All | Disruption Break+Perpetual Motion | Disruption Break+Well-Rounded | Harmony+Perpetual Motion | Harmony+Well-Rounded | One for All+Perpetual Motion,548958835
448,Point of the Stag,preferred,Combat Bow,Arc,1,0,0,0,1,"Elemental Capacitor, Pugilist, Slickdraw","Dragonfly, Golden Tricorn Enhanced, Precision Instrument",6,1,253,Dragonfly+Elemental Capacitor | Dragonfly+Pugilist | Dragonfly+Slickdraw | Golden Tricorn Enhanced+Slickdraw | Precision Instrument+Pugilist | Precision Instrument+Slickdraw,888872889
449,Ulterior Observation,preferred,Machine Gun,Stasis,1,0,0,0,1,"Demolitionist, Envious Arsenal, Feeding Frenzy","Dragonfly, Dynamic Sway Reduction, Rimestealer",8,1,239,Demolitionist+Dragonfly | Demolitionist+Rimestealer | Dragonfly+Envious Arsenal | Dragonfly+Feeding Frenzy | Dynamic Sway Reduction+Envious Arsenal | Dynamic Sway Reduction+Feeding Frenzy | Envious Arsenal+Rimestealer | Feeding Frenzy+Rimestealer,1079872540
450,Brass Attacks,preferred,Sidearm,Void,1,0,0,0,1,"Impromptu Ammunition, Slideways, Threat Detector","Demoralize, Dragonfly, Frenzy",7,1,374,Demoralize+Slideways | Demoralize+Threat Detector | Dragonfly+Impromptu Ammunition | Dragonfly+Slideways | Dragonfly+Threat Detector | Frenzy+Impromptu Ammunition | Frenzy+Slideways,1291040554
451,The Keening,preferred,Sidearm,Arc,1,0,1,0,1,"Killing Wind, Lone Wolf, Slideshot","Dragonfly, Jolting Feedback, Zen Moment",9,1,407,Dragonfly+Killing Wind | Dragonfly+Lone Wolf | Dragonfly+Slideshot | Jolting Feedback+Killing Wind | Jolting Feedback+Lone Wolf | Jolting Feedback+Slideshot | Killing Wind+Zen Moment | Lone Wolf+Zen Moment | Slideshot+Zen Moment,3902351469
452,Word of Crota (Adept),preferred,Hand Cannon,Void,0,1,0,1,0,"Dragonfly, Killing Wind, Rapid Hit","Frenzy, Magnificent Howl, Master of Arms",7,1,714,Dragonfly+Frenzy | Dragonfly+Master of Arms | Frenzy+Killing Wind | Killing Wind+Magnificent Howl | Killing Wind+Master of Arms | Magnificent Howl+Rapid Hit | Master of Arms+Rapid Hit,3926103986
453,Qua Nilus II,preferred,Submachine Gun,Strand,1,0,1,0,1,"Dynamic Sway Reduction, Slice, Transcendent Moment","Dragonfly, Harmony, Hatchling",4,1,211,Dragonfly+Slice | Dragonfly+Transcendent Moment | Dynamic Sway Reduction+Harmony | Dynamic Sway Reduction+Hatchling,190747610
454,Pure Recollection,preferred,Shotgun,Void,1,0,1,0,1,"Dual Loader, Envious Arsenal, Threat Detector","Headseeker, Tap the Trigger, Withering Gaze",9,1,208,Dual Loader+Headseeker | Dual Loader+Tap the Trigger | Dual Loader+Withering Gaze | Envious Arsenal+Headseeker | Envious Arsenal+Tap the Trigger | Envious Arsenal+Withering Gaze | Headseeker+Threat Detector | Tap the Trigger+Threat Detector | Threat Detector+Withering Gaze,1956186483
455,Retrofuturist,preferred,Shotgun,Void,1,0,1,0,1,"Dual Loader, Loose Change, Unrelenting","One for All, Snapshot Sights, Trench Barrel",6,1,1011,Dual Loader+One for All | Loose Change+One for All | Loose Change+Snapshot Sights | Loose Change+Trench Barrel | Snapshot Sights+Unrelenting | Trench Barrel+Unrelenting,1612781792
456,Dead Weight,preferred,Shotgun,Arc,0,0,1,0,1,"Dual Loader, Feeding Frenzy, Grave Robber","Adrenaline Junkie, Golden Tricorn, Turnabout",9,1,1510,Adrenaline Junkie+Dual Loader | Adrenaline Junkie+Feeding Frenzy | Adrenaline Junkie+Grave Robber | Dual Loader+Golden Tricorn | Dual Loader+Turnabout | Feeding Frenzy+Golden Tricorn | Feeding Frenzy+Turnabout | Golden Tricorn+Grave Robber | Grave Robber+Turnabout,3738678140
457,Thin Precipice,preferred,Sword,Strand,1,0,0,1,1,"Duelist's Trance, Flash Counter, Relentless Strikes","Adrenaline Junkie, Golden Tricorn, Golden Tricorn Enhanced",8,1,450,Adrenaline Junkie+Duelist's Trance | Adrenaline Junkie+Flash Counter | Adrenaline Junkie+Relentless Strikes | Duelist's Trance+Golden Tricorn Enhanced | Flash Counter+Golden Tricorn | Flash Counter+Golden Tricorn Enhanced | Golden Tricorn+Relentless Strikes | Golden Tricorn Enhanced+Relentless Strikes,4066778670
458,The Other Half,preferred,Sword,Void,1,0,0,1,1,"Duelist's Trance, Eager Edge, Relentless Strikes","Frenzy, Repulsor Brace, Whirlwind Blade",7,1,172,Duelist's Trance+Frenzy | Duelist's Trance+Repulsor Brace | Eager Edge+Frenzy | Eager Edge+Repulsor Brace | Eager Edge+Whirlwind Blade | Frenzy+Relentless Strikes | Relentless Strikes+Repulsor Brace,3257091167
459,Nasreddin,preferred,Sword,Arc,1,0,0,0,1,"Duelist's Trance, Energy Transfer, Flash Counter","Eager Edge, Jolting Feedback, Rolling Storm",9,1,338,Duelist's Trance+Eager Edge | Duelist's Trance+Jolting Feedback | Duelist's Trance+Rolling Storm | Eager Edge+Energy Transfer | Eager Edge+Flash Counter | Energy Transfer+Jolting Feedback | Energy Transfer+Rolling Storm | Flash Counter+Jolting Feedback | Flash Counter+Rolling Storm,1979417829
460,Gnawing Hunger,preferred,Auto Rifle,Void,1,0,1,0,1,"Enlightened Action, Overflow, Tap the Trigger","Dynamic Sway Reduction, Master of Arms, Swashbuckler",7,1,378,Dynamic Sway Reduction+Enlightened Action | Dynamic Sway Reduction+Overflow | Enlightened Action+Master of Arms | Enlightened Action+Swashbuckler | Master of Arms+Overflow | Master of Arms+Tap the Trigger | Swashbuckler+Tap the Trigger,214545213
461,Trendsetter,preferred,Auto Rifle,Arc,1,0,0,0,1,"Dynamic Sway Reduction, Light Touch, Outlaw","Gear Shift, Jolting Feedback, Tap the Trigger",7,1,191,Dynamic Sway Reduction+Gear Shift | Dynamic Sway Reduction+Jolting Feedback | Dynamic Sway Reduction+Tap the Trigger | Gear Shift+Outlaw | Jolting Feedback+Outlaw | Light Touch+Tap the Trigger | Outlaw+Tap the Trigger,2863808104
